Code,accident_severity,age_band_of_casualty,age_band_of_driver,age_of_casualty,age_of_driver,bus_or_coach_passenger,car_passenger,carriageway_hazards,casualty_class,casualty_severity,casualty_type,day_of_week,did_police_officer_attend_scene_of_accident,engine_capacity_cc,first_point_of_impact,first_road_class,first_road_number,generic_make_model,hit_object_in_carriageway,hit_object_off_carriageway,junction_detail,junction_location,light_conditions,local_authority_district,pedestrian_location,pedestrian_movement,pedestrian_road_maintenance_worker,road_surface_conditions,road_type,sex_of_casualty,sex_of_driver,skidding_and_overturning,special_conditions_at_site,towing_and_articulation,vehicle_leaving_carriageway,vehicle_left_hand_drive,vehicle_manoeuvre,vehicle_type,weather_conditions
-1,,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,,,,,Data missing or out of range,Data missing or out of range,Data missing or out of range,,Unknown,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range,Data missing or out of range
0,,,,,,Not a bus or coach passenger,Not car passenger,None,,,Pedestrian,,,,Did not impact,,first_road_class is C or Unclassified. These roads do not have official numbers so recorded as zero,,None,None,Not at junction or within 20 metres,Not at or within 20 metres of junction,,,Not a Pedestrian,Not a Pedestrian,No / Not applicable,,,,,None,None,No tow/articulation,Did not leave carriageway,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
273,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
276,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
282,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
284,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
290,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
292,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
293,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
294,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
305,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
